,locality,Postcode,Median 2013,Median 2014,Median 2015,Median 2016,Median 2017,Median 2018,Median 2019,Median 2020,Median 2021,Median 2022
614,Rippleside,3215,585000.0,530000.0,644000.0,739000.0,725000.0,750000.0,825000.0,862000.0,1090000.0,910000.0
615,Ripponlea,3185,985000.0,1000000.0,1360000.0,1700000.0,1787500.0,1564000.0,1350000.0,2001000.0,1892500.0,1650000.0
616,Robinvale,3549,151500.0,160000.0,184500.0,170000.0,197000.0,220000.0,231500.0,235000.0,340000.0,402500.0
617,Rochester,3561,189500.0,215000.0,235000.0,239000.0,242500.0,236000.0,255000.0,237000.0,350000.0,385000.0
618,Rockbank,3335,309000.0,280000.0,300000.0,347000.0,455000.0,500000.0,497000.0,465000.0,565000.0,602500.0
619,Romsey,3434,387500.0,396000.0,420000.0,428000.0,470000.0,550000.0,580500.0,630000.0,780000.0,772500.0
620,Rosanna,3084,717500.0,781500.0,905000.0,980000.0,1175000.0,1100000.0,1032500.0,1122500.0,1372000.0,1250000.0
621,Rosebud,3939,367000.0,365000.0,389000.0,445000.0,536000.0,590000.0,550000.0,595000.0,780000.0,832500.0
622,Rosebud South,Unknown,425000.0,500000.0,515000.0,545000.0,647500.0,711500.0,697000.0,658500.0,949500.0,1275000.0
623,Rosedale,3847,215000.0,215000.0,197000.0,230000.0,247000.0,280000.0,247000.0,252000.0,367500.0,420000.0
624,Rowville,3178,570000.0,617500.0,710000.0,778000.0,867000.0,838000.0,820000.0,838000.0,1005000.0,1075000.0
625,Roxburgh Park,3064,365000.0,385000.0,400000.0,435000.0,515000.0,546000.0,543000.0,572500.0,615000.0,645000.0
626,Rupanyup,3388,75000.0,105000.0,53500.0,75000.0,63500.0,87000.0,100500.0,90000.0,118000.0,220000.0
627,Rushworth,3612,161000.0,158000.0,177000.0,200000.0,192500.0,198000.0,205000.0,226000.0,301000.0,365000.0
628,Rutherglen,3685,232000.0,195000.0,230000.0,255000.0,262000.0,270000.0,282500.0,350000.0,402500.0,490000.0
629,Rye,3941,425000.0,460000.0,488000.0,550000.0,658000.0,705000.0,690000.0,793500.0,1100000.0,1225000.0
630,Safety Beach,3936,515000.0,516500.0,595000.0,665000.0,780000.0,825000.0,810000.0,895000.0,1117000.0,1420000.0
631,Sailors Gully,3556,253000.0,262500.0,235000.0,225000.0,232000.0,290000.0,280000.0,300000.0,390000.0,470000.0
632,Sale,3852,290000.0,300000.0,298000.0,295500.0,300000.0,309500.0,325000.0,345000.0,399500.0,515000.0
633,San Remo,3925,410000.0,407000.0,420000.0,460000.0,497000.0,515000.0,554500.0,597500.0,850000.0,907500.0
634,Sanctuary Lakes,Unknown,480000.0,485000.0,570000.0,503000.0,629000.0,627500.0,625000.0,653500.0,710000.0,730000.0
635,Sandhurst,3977,545000.0,549000.0,617500.0,678500.0,730000.0,837500.0,812500.0,780000.0,950000.0,966000.0
636,Sandringham,3191,1210000.0,1305000.0,1490000.0,1760000.0,1862500.0,1850000.0,1665000.0,1847000.0,2364000.0,2432500.0
637,Sandy Point,3959,352500.0,380000.0,370000.0,359000.0,407500.0,410000.0,410000.0,517500.0,755000.0,820000.0
638,Sassafras,3787,632500.0,556000.0,562000.0,653500.0,775500.0,750000.0,805000.0,770000.0,860000.0,973500.0
639,Sawmill Settlement,3723,259000.0,205500.0,233000.0,350000.0,270000.0,285000.0,441000.0,400000.0,560000.0,565000.0
640,Scoresby,3179,509000.0,570000.0,661000.0,700000.0,878500.0,835000.0,767000.0,785000.0,955000.0,982500.0
641,Sea Lake,3533,80000.0,75000.0,90000.0,75000.0,70000.0,110000.0,100000.0,106500.0,121500.0,160000.0
642,Seabrook,3028,422500.0,402500.0,456000.0,509000.0,635000.0,672500.0,626500.0,652500.0,730000.0,780000.0
643,Seaford,3198,419000.0,450000.0,475000.0,580500.0,700000.0,695000.0,655000.0,700000.0,850000.0,915000.0
644,Seaholme,3018,641000.0,670000.0,802500.0,872500.0,1157500.0,1015000.0,1020000.0,937500.0,1222000.0,1220000.0
645,Seaspray,3851,152000.0,164000.0,240000.0,175000.0,215000.0,210000.0,265000.0,260000.0,334000.0,390000.0
646,Sebastopol,3356,242000.0,235500.0,244500.0,247500.0,256000.0,289500.0,315000.0,341000.0,420000.0,457000.0
647,Seddon,3011,675000.0,730000.0,830000.0,934500.0,982500.0,1018500.0,960000.0,1064500.0,1225000.0,971000.0
648,Selby,3159,420000.0,420000.0,469500.0,527500.0,600000.0,637500.0,601500.0,720000.0,904500.0,820000.0
649,Seville,3139,400000.0,397500.0,450000.0,511500.0,611500.0,634500.0,620000.0,626000.0,770000.0,810000.0
650,Seville East,3139,339500.0,350000.0,395000.0,440000.0,482500.0,551500.0,580000.0,600000.0,720000.0,
651,Seymour,3660,220000.0,213000.0,225000.0,242500.0,277000.0,295000.0,300000.0,325000.0,390000.0,420000.0
652,Shepparton,3630,247000.0,243000.0,250000.0,265000.0,261000.0,275000.0,282000.0,310000.0,370000.0,405000.0
653,Shepparton North,3631,346000.0,375000.0,348000.0,361000.0,347000.0,334000.0,393000.0,379000.0,425000.0,654000.0
654,Shoreham,3916,607000.0,620000.0,903000.0,868500.0,970000.0,1160000.0,1400000.0,1077000.0,1767500.0,1155000.0
655,Silverleaves,3922,508000.0,460500.0,484000.0,446500.0,515000.0,721000.0,618500.0,775000.0,982000.0,2195000.0
656,Skenes Creek,3233,465000.0,435000.0,491500.0,520000.0,517000.0,580000.0,667500.0,815000.0,952500.0,850000.0
657,Skipton,3361,155000.0,117500.0,137000.0,169000.0,187500.0,159500.0,200000.0,219500.0,270000.0,352500.0
658,Skye,3977,395000.0,413000.0,430000.0,479000.0,570000.0,611000.0,597500.0,610000.0,745000.0,812500.0
659,Smiths Beach,3922,372500.0,390000.0,455000.0,470000.0,458500.0,589000.0,624500.0,695000.0,837000.0,976500.0
660,Smythes Creek,3351,,380000.0,380000.0,380000.0,380000.0,426500.0,430000.0,440500.0,500000.0,575000.0
661,Smythesdale,3351,260000.0,207500.0,225000.0,250000.0,315000.0,290000.0,342500.0,475000.0,522500.0,
662,Soldiers Hill,3350,283000.0,341000.0,310000.0,374000.0,423500.0,447500.0,480000.0,557500.0,569000.0,655000.0
663,Somers,3927,657500.0,755000.0,696500.0,755500.0,820000.0,888500.0,950000.0,980000.0,1700000.0,1850000.0
664,Somerville,3912,385000.0,395000.0,425000.0,465000.0,580000.0,615000.0,600000.0,640000.0,780000.0,900000.0
665,Sorrento,3943,770000.0,795000.0,859000.0,1130000.0,1300000.0,1380000.0,1470000.0,1665000.0,2200000.0,2426500.0
666,South Dudley,3995,192000.0,200500.0,221500.0,256000.0,233500.0,270000.0,339000.0,330000.0,445000.0,522000.0
667,South Geelong,3220,420500.0,470000.0,425000.0,495000.0,650000.0,676000.0,702500.0,835000.0,1000000.0,1070000.0
668,South Kingsville,3015,619500.0,671000.0,742000.0,903000.0,980000.0,1000000.0,859000.0,992000.0,1100000.0,1140000.0
669,South Melbourne,3205,1030000.0,1200000.0,1310000.0,1595000.0,1532500.0,1465000.0,1355000.0,1580000.0,1690000.0,1812500.0
670,South Morang,3752,415000.0,420000.0,450000.0,502000.0,610500.0,634000.0,625500.0,640000.0,730000.0,755000.0
671,South Yarra,3141,1352500.0,1450000.0,1700000.0,1890000.0,2035000.0,1851000.0,1850000.0,2010000.0,2217500.0,1650000.0
672,Spotswood,3015,680000.0,640000.0,795000.0,917500.0,1027500.0,1080000.0,950000.0,1000000.0,1220000.0,1380000.0
673,Spring Gully,3550,345000.0,350000.0,350000.0,350000.0,390000.0,400000.0,386500.0,440000.0,552500.0,700000.0
674,Springvale,3171,451500.0,530000.0,629500.0,685000.0,750000.0,780000.0,746500.0,785000.0,853000.0,925000.0
675,Springvale South,3172,430000.0,475000.0,562000.0,630000.0,720000.0,720000.0,679000.0,725000.0,800000.0,800000.0
676,St Albans,3021,350000.0,373500.0,428000.0,500000.0,610000.0,626500.0,591000.0,600000.0,685000.0,702500.0
677,St Albans Park,3219,335000.0,330000.0,329000.0,331000.0,379000.0,450000.0,422000.0,455000.0,600000.0,622500.0
678,St Andrews Beach,3941,480000.0,495000.0,560000.0,695000.0,855000.0,902500.0,930000.0,1207500.0,1710000.0,1595000.0
679,St Arnaud,3478,140000.0,145000.0,141000.0,142500.0,145000.0,145000.0,175000.0,170000.0,225000.0,255000.0
680,St Helena,3088,612500.0,623000.0,711000.0,800000.0,893500.0,910000.0,905000.0,930000.0,1137500.0,
681,St Kilda,3182,892000.0,1225000.0,1164000.0,1305000.0,1551000.0,1755000.0,1600000.0,1330000.0,1662500.0,1515000.0
682,St Kilda East,3183,1050500.0,1037500.0,1382500.0,1677500.0,1460000.0,1620000.0,1560500.0,1650000.0,1828000.0,1200000.0
683,St Kilda West,3182,1142500.0,2235000.0,2013000.0,1797000.0,2380000.0,1942500.0,2465000.0,2630000.0,2750000.0,
684,St Leonards,3223,350000.0,357000.0,375000.0,421500.0,469000.0,571500.0,562500.0,572000.0,702000.0,786000.0
685,Stanhope,3623,150000.0,131000.0,152500.0,147000.0,181000.0,161500.0,187500.0,201500.0,255000.0,222500.0
686,Stawell,3380,162500.0,172500.0,177000.0,177000.0,188000.0,190000.0,189000.0,226000.0,290000.0,321500.0
687,Stratford,3862,230000.0,261500.0,260500.0,272500.0,265000.0,258000.0,316500.0,320000.0,397500.0,463500.0
688,Strathdale,3550,392500.0,380000.0,410500.0,445000.0,380000.0,420000.0,451000.0,507000.0,645000.0,677500.0
689,Strathfieldsaye,3551,377000.0,397500.0,408000.0,425000.0,455000.0,444000.0,476500.0,535000.0,640000.0,710000.0
690,Strathmerton,3641,166000.0,172500.0,190000.0,182500.0,140000.0,187500.0,195000.0,205000.0,265000.0,259000.0
691,Strathmore,3041,827500.0,865000.0,997500.0,1140000.0,1230000.0,1357500.0,1310000.0,1360000.0,1570000.0,1342500.0
692,Strathmore Heights,3041,621000.0,640000.0,700000.0,808000.0,970000.0,885000.0,800000.0,835000.0,962500.0,1137500.0
693,Strathtulloh,3338,350000.0,440000.0,425000.0,430000.0,359000.0,425000.0,507500.0,522500.0,590000.0,642500.0
694,Studfield,3152,532500.0,617500.0,785000.0,853000.0,957500.0,906000.0,811000.0,836000.0,1036500.0,1001000.0
695,Sunbury,3429,355000.0,360000.0,370000.0,395000.0,492000.0,545000.0,533500.0,572000.0,646500.0,655000.0
696,Sunderland Bay,3922,324500.0,333000.0,287000.0,360000.0,357500.0,455000.0,413500.0,525000.0,717000.0,1037500.0
697,Sunnycliffs,3496,195000.0,280000.0,185000.0,220000.0,228000.0,218000.0,229500.0,230000.0,325000.0,277500.0
698,Sunset Strip,3922,301500.0,310000.0,301500.0,340000.0,345000.0,390000.0,460000.0,511000.0,602500.0,835000.0
699,Sunshine,3020,435000.0,483500.0,530500.0,675000.0,765000.0,748500.0,715000.0,750000.0,870000.0,945000.0
700,Sunshine North,3020,400000.0,425500.0,495000.0,560000.0,653000.0,663000.0,635000.0,675000.0,720500.0,734500.0
701,Sunshine West,3020,384500.0,395000.0,450000.0,520000.0,639500.0,635000.0,635000.0,657000.0,745000.0,780000.0
702,Surf Beach,3922,375000.0,360000.0,355000.0,414000.0,425000.0,480000.0,525000.0,559000.0,700000.0,772500.0
703,Surrey Hills,3127,1323000.0,1450000.0,1750000.0,1800500.0,2170000.0,1900000.0,1890000.0,1880000.0,2310000.0,2156000.0
704,Swan Hill,3585,225000.0,230000.0,248000.0,262500.0,252000.0,267000.0,285000.0,319000.0,360000.0,354500.0
705,Swan Reach,3903,230000.0,276000.0,331000.0,455000.0,350000.0,370000.0,450000.0,430000.0,562000.0,764500.0
706,Sydenham,3037,425000.0,415000.0,440000.0,505000.0,590000.0,620000.0,599500.0,635000.0,706000.0,675000.0
707,Syndal,3149,950500.0,1160000.0,1505000.0,1410000.0,1585000.0,1530000.0,1499000.0,1570000.0,1768000.0,2550000.0
708,Tallangatta,3701,154000.0,200000.0,233000.0,216000.0,275000.0,245000.0,257500.0,280000.0,350000.0,432000.0
709,Tarneit,3029,371000.0,395000.0,400000.0,445000.0,515000.0,570000.0,555000.0,568000.0,600000.0,645000.0
710,Tatura,3616,230000.0,237500.0,233000.0,228000.0,262000.0,250000.0,276500.0,303500.0,355000.0,385000.0
711,Tawonga,3697,310000.0,375000.0,235000.0,275000.0,265000.0,354000.0,460000.0,407500.0,459000.0,615000.0
712,Tawonga South,3698,219500.0,235000.0,257500.0,298000.0,254000.0,310000.0,422500.0,380000.0,550000.0,664000.0
713,Taylors Hill,3037,487500.0,510000.0,530000.0,600000.0,686000.0,723000.0,702000.0,754000.0,840000.0,821500.0
714,Taylors Lakes,3038,490000.0,510000.0,561500.0,635000.0,720000.0,763500.0,750000.0,777500.0,880000.0,908500.0
715,Tecoma,3160,415000.0,478000.0,510000.0,601500.0,709000.0,700000.0,662500.0,742500.0,920000.0,929000.0
716,Templestowe,3106,865000.0,951500.0,1180000.0,1260000.0,1415000.0,1308000.0,1292500.0,1381500.0,1602500.0,1644000.0
717,Templestowe Lower,3107,750000.0,830000.0,1060000.0,1105500.0,1302000.0,1150000.0,1080000.0,1186000.0,1430000.0,1624000.0
718,Terang,3264,161500.0,195000.0,206500.0,150000.0,188500.0,194000.0,188500.0,232500.0,307500.0,330000.0
719,The Basin,3154,430000.0,463500.0,550000.0,595000.0,610000.0,682500.0,695000.0,739000.0,872000.0,837500.0
720,The Honeysuckles,3851,214000.0,190000.0,160000.0,237000.0,265000.0,290000.0,336000.0,315000.0,477500.0,502500.0
721,The Patch,3792,393500.0,486500.0,505000.0,570500.0,665000.0,730000.0,755000.0,760000.0,882500.0,807500.0
722,Thomastown,3074,390000.0,420000.0,436000.0,493000.0,653000.0,636000.0,592000.0,621000.0,720000.0,742000.0
723,Thomson (Greater Geelong),Unknown,282000.0,290000.0,290000.0,308500.0,365000.0,411000.0,400500.0,435000.0,585000.0,607000.0
724,Thornbury,3071,729000.0,840000.0,918000.0,1079500.0,1225000.0,1137500.0,1150000.0,1250000.0,1490000.0,1462500.0
725,Thornhill Park,3335,,,,441000.0,447000.0,578000.0,535000.0,540000.0,585000.0,600000.0
726,Timboon,3268,184000.0,210000.0,240000.0,215000.0,220000.0,247000.0,260000.0,412500.0,425000.0,460000.0
727,Tongala,3621,185000.0,179000.0,165000.0,204000.0,200000.0,275000.0,234500.0,236500.0,305000.0,423000.0
728,Toongabbie,3856,234000.0,261500.0,235000.0,315000.0,286500.0,280500.0,315500.0,320000.0,445000.0,525000.0
729,Toora,3962,171500.0,155000.0,230000.0,195000.0,190000.0,241500.0,275000.0,300000.0,430000.0,610000.0
730,Tooradin,3980,420000.0,480000.0,471000.0,411000.0,599000.0,702000.0,700000.0,755000.0,800000.0,684500.0
731,Toorak,3142,2875000.0,3391000.0,3987500.0,4900000.0,5100000.0,4700000.0,4550000.0,5500000.0,5925000.0,4555000.0
732,Tootgarook,3941,387000.0,402500.0,405000.0,460000.0,591000.0,600500.0,586000.0,671000.0,874000.0,980000.0
733,Torquay,3228,580000.0,580000.0,620000.0,665000.0,720000.0,810000.0,815000.0,860000.0,1200000.0,1315000.0
734,Trafalgar,3824,283000.0,311000.0,310000.0,312500.0,333500.0,375000.0,396500.0,435000.0,485000.0,535000.0
735,Traralgon,3844,269000.0,275000.0,273000.0,268000.0,288500.0,298000.0,326500.0,340000.0,408000.0,465000.0
736,Traralgon East,3844,435000.0,440000.0,432500.0,445000.0,455000.0,425000.0,470000.0,501500.0,640000.0,592500.0
737,Travancore,3032,905000.0,848000.0,1100000.0,1305000.0,1415000.0,1475000.0,1125000.0,1617500.0,1800000.0,
738,Trentham,3458,407500.0,340000.0,422500.0,455000.0,475000.0,603000.0,614000.0,620000.0,820000.0,950000.0
739,Truganina,3029,360000.0,390000.0,391000.0,430000.0,519500.0,571500.0,575000.0,580000.0,618000.0,655000.0
740,Tullamarine,3043,395000.0,412000.0,472500.0,530000.0,655000.0,665500.0,612000.0,640000.0,757500.0,845000.0
741,Tyabb,3913,370500.0,366000.0,395000.0,430000.0,510500.0,548000.0,586500.0,590000.0,736000.0,827500.0
742,Underbool,3509,85000.0,75000.0,25000.0,62500.0,60000.0,62500.0,39000.0,62000.0,99000.0,
743,Upper Ferntree Gully,3156,435000.0,500000.0,515000.0,582000.0,685000.0,700000.0,642500.0,735000.0,858000.0,885000.0
744,Upwey,3158,425000.0,476000.0,515000.0,585000.0,680000.0,710000.0,702500.0,760500.0,899000.0,865000.0
745,Ventnor,3922,370000.0,377500.0,423500.0,420000.0,465000.0,490000.0,540000.0,619500.0,770000.0,840000.0
746,Venus Bay,3956,242500.0,237000.0,236000.0,258000.0,262500.0,305000.0,330000.0,375000.0,574500.0,659000.0
747,Vermont,3133,610000.0,725000.0,855000.0,900000.0,1065000.0,980000.0,935500.0,1000000.0,1226500.0,1255000.0
748,Vermont South,3133,722500.0,815000.0,1000000.0,1082500.0,1200500.0,1150000.0,1165000.0,1200000.0,1420000.0,1451000.0
749,Viewbank,3084,630000.0,725000.0,829500.0,920000.0,1000000.0,933000.0,920000.0,985000.0,1233000.0,1215000.0
750,Violet Town,3669,215000.0,199500.0,200000.0,238500.0,217000.0,242500.0,287500.0,328500.0,381500.0,317500.0
751,Wahgunyah,3687,190000.0,213500.0,267000.0,290000.0,270000.0,240000.0,355000.0,320000.0,387000.0,349500.0
752,Walkerville,3956,279000.0,230000.0,246000.0,283500.0,275000.0,266500.0,334500.0,350000.0,461000.0,567000.0
753,Wallan,3756,341500.0,356000.0,362000.0,375000.0,425000.0,490000.0,480000.0,520000.0,580000.0,625000.0
754,Wallan East,Unknown,310000.0,306500.0,309500.0,352500.0,410000.0,502000.0,450000.0,490000.0,583500.0,611000.0
755,Wandana Heights,3216,540000.0,582000.0,590000.0,592500.0,645000.0,700000.0,766500.0,827000.0,925000.0,1030000.0
756,Wandin North,3139,407500.0,439500.0,480000.0,496500.0,665000.0,665000.0,630000.0,715000.0,765000.0,900000.0
757,Wangaratta,3678,240000.0,255000.0,272000.0,270500.0,270000.0,320000.0,319000.0,356500.0,425000.0,530000.0
758,Wantirna,3152,576000.0,667500.0,764000.0,801000.0,953000.0,906500.0,850000.0,910000.0,1065000.0,1105000.0
759,Wantirna South,3152,579000.0,676500.0,829000.0,875000.0,1005000.0,1000000.0,988500.0,1015000.0,1222000.0,1336000.0
760,Warburton,3799,310000.0,315000.0,325000.0,366000.0,418000.0,495000.0,512500.0,543000.0,675000.0,825000.0
761,Warneet,3980,337000.0,355000.0,395000.0,390000.0,485000.0,534000.0,512500.0,600000.0,666000.0,
762,Warracknabeal,3393,107500.0,110000.0,110000.0,123500.0,113000.0,112500.0,118000.0,140000.0,180000.0,214500.0
763,Warragul,3820,315000.0,320000.0,342000.0,340000.0,365000.0,449000.0,460000.0,497500.0,580000.0,648000.0
764,Warrandyte,3113,640000.0,760000.0,829000.0,890000.0,1042500.0,1110000.0,994000.0,996000.0,1285000.0,1320000.0
765,Warranwood,3134,603000.0,665000.0,790000.0,865000.0,943500.0,1010000.0,935000.0,957000.0,1145000.0,1323000.0
766,Warrnambool,3280,325000.0,323000.0,330000.0,320000.0,330000.0,350000.0,370000.0,415000.0,520000.0,587500.0
767,Waterways,3195,667000.0,845000.0,902000.0,1050000.0,1127500.0,1110000.0,1270000.0,1408000.0,1445000.0,1270500.0
768,Watsonia,3087,505000.0,555000.0,607500.0,698000.0,835000.0,795000.0,736000.0,790000.0,961000.0,950000.0
769,Watsonia North,3087,510000.0,572500.0,635000.0,702500.0,790000.0,770000.0,726500.0,795000.0,962500.0,980500.0
770,Wattle Glen,3096,475000.0,500500.0,569000.0,580000.0,620000.0,810000.0,778500.0,810000.0,924000.0,895000.0
771,Waurn Ponds,3216,446500.0,470000.0,480000.0,501000.0,530000.0,621500.0,641500.0,671000.0,727500.0,807500.0
772,Wedderburn,3518,154000.0,137500.0,110000.0,150000.0,155000.0,130000.0,138500.0,150000.0,176500.0,325000.0
773,Weir Views,3338,327500.0,388000.0,389000.0,418000.0,440000.0,470000.0,465000.0,495500.0,530000.0,593500.0
774,Welshpool,3965,166000.0,193000.0,272500.0,180000.0,230000.0,259000.0,300000.0,242500.0,380000.0,400000.0
775,Wendouree,3350,243000.0,247000.0,250000.0,252500.0,267500.0,326000.0,335000.0,370000.0,465000.0,495000.0
776,Wendouree West,Unknown,190000.0,165000.0,207500.0,185000.0,200000.0,245000.0,259000.0,300000.0,380000.0,420000.0
777,Werribee,3030,309000.0,315000.0,335000.0,403000.0,470000.0,510000.0,500000.0,513000.0,575000.0,620500.0
778,Werribee South,3030,538000.0,585000.0,680000.0,540000.0,650000.0,735000.0,744500.0,650000.0,822500.0,685000.0
779,Wesburn,3799,312500.0,288500.0,395000.0,455000.0,455000.0,463500.0,530000.0,532000.0,665000.0,700000.0
780,West Bendigo,3550,259000.0,355000.0,293500.0,270000.0,215000.0,269500.0,241500.0,363500.0,575000.0,
781,West Footscray,3012,553000.0,637500.0,697000.0,798000.0,887500.0,875000.0,785000.0,835000.0,1000000.0,1100000.0
782,West Melbourne,3003,905000.0,916000.0,1005000.0,1104500.0,1350000.0,1370000.0,1017500.0,1215000.0,1260000.0,1166000.0
783,West Wodonga,3690,272500.0,296000.0,306000.0,308500.0,321000.0,322000.0,342500.0,370000.0,429000.0,475000.0
784,Westall,Unknown,513500.0,550000.0,610000.0,696000.0,780000.0,800000.0,744500.0,739000.0,851000.0,905000.0
785,Westgarth,Unknown,920000.0,1100000.0,1300000.0,1500000.0,1383000.0,1707500.0,1492500.0,1566000.0,2075000.0,1915000.0
786,Westmeadows,3049,386500.0,419000.0,470000.0,500000.0,566000.0,620000.0,620000.0,605500.0,715500.0,650000.0
787,Wheelers Hill,3150,740000.0,805000.0,999000.0,1050000.0,1160000.0,1118500.0,1010000.0,1173500.0,1371000.0,1458000.0
788,White Hills,3550,280000.0,306000.0,297500.0,305000.0,300000.0,313500.0,330000.0,355000.0,470000.0,515000.0
789,Whittington,3219,259000.0,262000.0,280000.0,265000.0,316500.0,395000.0,377500.0,404000.0,485000.0,583000.0
790,Whittlesea,3757,375000.0,375000.0,400000.0,448500.0,469500.0,577500.0,580000.0,610000.0,675000.0,797500.0
791,Williams Landing,3027,470000.0,450000.0,510000.0,530000.0,600000.0,685000.0,657000.0,680000.0,760000.0,802500.0
792,Williamstown,3016,920000.0,970000.0,1120000.0,1282500.0,1440000.0,1415000.0,1350000.0,1402500.0,1635500.0,1575500.0
793,Williamstown North,3016,768000.0,803500.0,862500.0,1135500.0,1024000.0,847000.0,950000.0,905000.0,1250000.0,1610000.0
794,Wimbledon Heights,3922,271500.0,310000.0,291500.0,299000.0,334000.0,410000.0,386500.0,435000.0,592000.0,700000.0
795,Winchelsea,3241,287000.0,287500.0,262000.0,267000.0,357000.0,391000.0,430000.0,480000.0,552500.0,593000.0
796,Windsor,3181,835000.0,956500.0,1094000.0,1505000.0,1420000.0,1422500.0,1350000.0,1350000.0,1640000.0,1863000.0
797,Winter Valley,3358,344500.0,360000.0,365000.0,362500.0,375000.0,405000.0,435000.0,470000.0,575000.0,601000.0
798,Wodonga,3690,282500.0,295000.0,295000.0,315000.0,341500.0,350000.0,331000.0,348000.0,440000.0,490000.0
799,Wollert,3750,400000.0,395000.0,432000.0,460000.0,520000.0,538000.0,570000.0,575000.0,640000.0,705000.0
800,Wonga Park,3115,674500.0,673500.0,735000.0,801000.0,962500.0,1150000.0,1111000.0,1077500.0,1230000.0,1410000.0
801,Wonthaggi,3995,225000.0,251000.0,262000.0,265000.0,289000.0,339000.0,375000.0,405000.0,550000.0,547500.0
802,Woodend,3442,470000.0,460000.0,482500.0,460000.0,560000.0,665000.0,747500.0,765000.0,895000.0,937500.0
803,Woolamai Waters,Unknown,349000.0,381500.0,340000.0,375000.0,418000.0,469500.0,495500.0,560000.0,766500.0,818000.0
804,Woori Yallock,3139,330000.0,317000.0,358000.0,391500.0,480000.0,520000.0,510000.0,552000.0,635000.0,615500.0
805,Wurruk,3850,285000.0,222000.0,230000.0,259500.0,235000.0,310000.0,210000.0,267000.0,352500.0,436500.0
806,Wy Yung,3875,285000.0,285000.0,290000.0,333500.0,328000.0,315000.0,349000.0,370000.0,453000.0,395000.0
807,Wycheproof,3527,95000.0,103000.0,100000.0,82500.0,100000.0,124500.0,141500.0,131000.0,170000.0,185000.0
808,Wyndham Vale,3024,288000.0,306000.0,325000.0,365000.0,435500.0,474000.0,460500.0,480000.0,530000.0,575000.0
809,Yackandandah,3749,327500.0,318000.0,300000.0,392500.0,446000.0,472500.0,497500.0,490000.0,669000.0,780000.0
810,Yallambie,3085,532500.0,580000.0,665000.0,713500.0,781000.0,810000.0,792500.0,832500.0,990000.0,910000.0
811,Yallourn North,3825,135000.0,149500.0,153000.0,165500.0,180000.0,172000.0,191000.0,206000.0,263000.0,302500.0
812,Yarra Glen,3775,420000.0,460000.0,530000.0,540000.0,620000.0,670000.0,670000.0,732500.0,850500.0,765000.0
813,Yarra Junction,3797,406500.0,357500.0,417500.0,422500.0,535000.0,562500.0,582500.0,595000.0,687000.0,765000.0
814,Yarragon,3823,258000.0,297000.0,284000.0,300000.0,280000.0,390000.0,410000.0,414000.0,565000.0,595000.0
815,Yarram,3971,190000.0,202500.0,245000.0,230000.0,225000.0,218000.0,240000.0,260000.0,360000.0,452500.0
816,Yarraville,3013,696000.0,710000.0,810000.0,900500.0,1000000.0,1045000.0,971000.0,1030000.0,1185000.0,1350000.0
817,Yarrawonga,3730,302500.0,297000.0,300500.0,320000.0,324500.0,345000.0,375000.0,456500.0,560000.0,695000.0
818,Yea,3755,260000.0,255000.0,260000.0,305000.0,385000.0,390000.0,435500.0,422500.0,560000.0,610000.0
819,Yinnar,3869,220000.0,240000.0,182500.0,230000.0,270000.0,245000.0,255000.0,292500.0,460000.0,562500.0
