,locality
ABBOTSFORD,1
NUNAWADING,1
NOBLE PARK NORTH,1
NORLANE,1
NORTH BENDIGO,1
NORTH GEELONG,1
NORTH MELBOURNE,1
NORTH SHORE,1
NORTH WONTHAGGI,1
NORTHCOTE,1
NOTTING HILL,1
NUMURKAH,1
NYAH WEST,1
NIDDRIE,1
NYORA,1
OAK PARK,1
OAKLEIGH,1
OAKLEIGH EAST,1
OAKLEIGH SOUTH,1
OCEAN GROVE,1
OFFICER,1
OFFICER SOUTH,1
OLINDA,1
OMEO,1
NOBLE PARK,1
NICHOLS POINT,1
MULGRAVE,1
NEERIM SOUTH,1
MURRUMBEENA,1
MURTOA,1
MYRTLEFORD,1
NAGAMBIE,1
NAR NAR GOON,1
NARRE WARREN,1
NARRE WARREN NORTH,1
NARRE WARREN SOUTH,1
NATHALIA,1
NATIMUK,1
NELSON,1
NHILL,1
NERRINA,1
NEW GISBORNE,1
NEWBOROUGH,1
NEWCOMB,1
NEWHAVEN,1
NEWINGTON,1
NEWLANDS ARM,1
NEWPORT,1
NEWSTEAD,1
NEWTOWN (GREATER GEELONG),1
ORBOST,1
ORMOND,1
OSBORNE,1
RAWSON,1
PORTLAND,1
PORTLAND NORTH,1
PORTSEA,1
PRAHRAN,1
PRESTON,1
PRINCES HILL,1
PYRAMID HILL,1
QUARRY HILL,1
QUEENSCLIFF,1
RAINBOW,1
RAYMOND ISLAND,1
OUYEN,1
RED CLIFFS,1
REDAN,1
RESEARCH,1
RESERVOIR,1
RHYLL,1
RICHMOND,1
RIDDELLS CREEK,1
RINGWOOD,1
RINGWOOD EAST,1
RINGWOOD NORTH,1
PORTARLINGTON,1
PORT WELSHPOOL,1
PORT MELBOURNE,1
PORT FAIRY,1
PAKENHAM,1
PARADISE BEACH,1
PARK ORCHARDS,1
PARKDALE,1
PARKVILLE,1
PASCOE VALE,1
PASCOE VALE SOUTH,1
PATTERSON GARDENS,1
PATTERSON LAKES,1
PAYNESVILLE,1
PEARCEDALE,1
PENSHURST,1
PETERBOROUGH,1
PIONEER BAY,1
PLENTY,1
POINT COOK,1
POINT LONSDALE,1
POOWONG,1
POREPUNKAH,1
PORT ALBERT,1
PORT CAMPBELL,1
MURCHISON,1
MOUNT WAVERLEY,1
ABERFELDIE,1
MAMBOURIN,1
MACS COVE,1
MADDINGLEY,1
MAFFRA,1
MAIDEN GULLY,1
MAIDSTONE,1
MALDON,1
MALLACOOTA,1
MALMSBURY,1
MALVERN,1
MALVERN EAST,1
MANIFOLD HEIGHTS,1
MACEDON,1
MANOR LAKES,1
MANSFIELD,1
MARENGO,1
MARIBYRNONG,1
MARLO,1
MARONG,1
MARSHALL,1
MARYBOROUGH,1
MARYSVILLE,1
MCCRAE,1
MACLEOD,1
LYSTERFIELD SOUTH,1
MOUNT PLEASANT,1
LOCH,1
LAUNCHING PLACE,1
LAVERTON,1
LAVERTON SOUTH,1
LEITCHVILLE,1
LENEVA,1
LEONGATHA,1
LEOPOLD,1
LILYDALE,1
LINDENOW,1
LISMORE,1
LOCH SPORT,1
LYSTERFIELD,1
LOCKINGTON,1
LONG GULLY,1
LONGWARRY,1
LORNE,1
LOVELY BANKS,1
LOWER PLENTY,1
LUCAS,1
LUCKNOW,1
LYNBROOK,1
LYNDHURST,1
MCKENZIE HILL,1
MCKINNON,1
MCLOUGHLINS BEACH,1
MORTLAKE,1
MONT ALBERT,1
MONT ALBERT NORTH,1
MONTMORENCY,1
MONTROSE,1
MOONEE PONDS,1
MOORABBIN,1
MOOROOLBARK,1
MOOROOPNA,1
MORDIALLOC,1
MORNINGTON,1
MORWELL,1
MEADOW HEIGHTS,1
MOUNT BEAUTY,1
MOUNT CLEAR,1
MOUNT DANDENONG,1
MOUNT DUNEED,1
MOUNT EGERTON,1
MOUNT ELIZA,1
MOUNT EVELYN,1
MOUNT HELEN,1
MOUNT MACEDON,1
MOUNT MARTHA,1
MONBULK,1
MOE,1
MITCHELL PARK,1
MITCHAM,1
MEENIYAN,1
MELTON,1
MELTON SOUTH,1
MELTON WEST,1
MENTONE,1
MENZIES CREEK,1
MERBEIN,1
MEREDITH,1
MERINDA PARK,1
MERNDA,1
MERRIGUM,1
MERRIJIG (MANSFIELD),1
METUNG,1
MICKLEHAM,1
MIDDLE PARK,1
MILDURA,1
MILL PARK,1
MILLGROVE,1
MINERS REST,1
MINYIP,1
MIRBOO NORTH,1
RIPPLESIDE,1
RIPPONLEA,1
ROBINVALE,1
WANDIN NORTH,1
VENUS BAY,1
VERMONT,1
VERMONT SOUTH,1
VIEWBANK,1
VIOLET TOWN,1
WAHGUNYAH,1
WALKERVILLE,1
WALLAN,1
WALLAN EAST,1
WANDANA HEIGHTS,1
WANGARATTA,1
UPWEY,1
WANTIRNA,1
WANTIRNA SOUTH,1
WARBURTON,1
WARNEET,1
WARRACKNABEAL,1
WARRAGUL,1
WARRANDYTE,1
WARRANWOOD,1
WARRNAMBOOL,1
WATERWAYS,1
VENTNOR,1
UPPER FERNTREE GULLY,1
ROCHESTER,1
TOORADIN,1
THE HONEYSUCKLES,1
THE PATCH,1
THOMASTOWN,1
THOMSON (GREATER GEELONG),1
THORNBURY,1
THORNHILL PARK,1
TIMBOON,1
TONGALA,1
TOONGABBIE,1
TOORA,1
TOORAK,1
UNDERBOOL,1
TOOTGAROOK,1
TORQUAY,1
TRAFALGAR,1
TRARALGON,1
TRARALGON EAST,1
TRAVANCORE,1
TRENTHAM,1
TRUGANINA,1
TULLAMARINE,1
TYABB,1
WATSONIA,1
WATSONIA NORTH,1
WATTLE GLEN,1
WYCHEPROOF,1
WINTER VALLEY,1
WODONGA,1
WOLLERT,1
WONGA PARK,1
WONTHAGGI,1
WOODEND,1
WOOLAMAI WATERS,1
WOORI YALLOCK,1
WURRUK,1
WY YUNG,1
WYNDHAM VALE,1
WAURN PONDS,1
YACKANDANDAH,1
YALLAMBIE,1
YALLOURN NORTH,1
YARRA GLEN,1
YARRA JUNCTION,1
YARRAGON,1
YARRAM,1
YARRAVILLE,1
YARRAWONGA,1
YEA,1
WINDSOR,1
WINCHELSEA,1
WIMBLEDON HEIGHTS,1
WILLIAMSTOWN NORTH,1
WEDDERBURN,1
WEIR VIEWS,1
WELSHPOOL,1
WENDOUREE,1
WENDOUREE WEST,1
WERRIBEE,1
WERRIBEE SOUTH,1
WESBURN,1
WEST BENDIGO,1
WEST FOOTSCRAY,1
WEST MELBOURNE,1
WEST WODONGA,1
WESTALL,1
WESTGARTH,1
WESTMEADOWS,1
WHEELERS HILL,1
WHITE HILLS,1
WHITTINGTON,1
WHITTLESEA,1
WILLIAMS LANDING,1
WILLIAMSTOWN,1
THE BASIN,1
TERANG,1
TEMPLESTOWE LOWER,1
SHEPPARTON NORTH,1
SEAFORD,1
SEAHOLME,1
SEASPRAY,1
SEBASTOPOL,1
SEDDON,1
SELBY,1
SEVILLE,1
SEVILLE EAST,1
SEYMOUR,1
SHEPPARTON,1
SHOREHAM,1
SOUTH DUDLEY,1
SILVERLEAVES,1
SKENES CREEK,1
SKIPTON,1
SKYE,1
SMITHS BEACH,1
SMYTHES CREEK,1
SMYTHESDALE,1
SOLDIERS HILL,1
SOMERS,1
SOMERVILLE,1
SEABROOK,1
SEA LAKE,1
SCORESBY,1
SAWMILL SETTLEMENT,1
ROCKBANK,1
ROMSEY,1
ROSANNA,1
ROSEBUD,1
ROSEBUD SOUTH,1
ROSEDALE,1
ROWVILLE,1
ROXBURGH PARK,1
RUPANYUP,1
RUSHWORTH,1
RUTHERGLEN,1
RYE,1
SAFETY BEACH,1
SAILORS GULLY,1
SALE,1
SAN REMO,1
SANCTUARY LAKES,1
SANDHURST,1
SANDRINGHAM,1
SANDY POINT,1
SASSAFRAS,1
SORRENTO,1
SOUTH GEELONG,1
TEMPLESTOWE,1
SWAN HILL,1
STUDFIELD,1
SUNBURY,1
SUNDERLAND BAY,1
SUNNYCLIFFS,1
SUNSET STRIP,1
SUNSHINE,1
SUNSHINE NORTH,1
SUNSHINE WEST,1
SURF BEACH,1
SURREY HILLS,1
SWAN REACH,1
SOUTH KINGSVILLE,1
SYDENHAM,1
SYNDAL,1
TALLANGATTA,1
TARNEIT,1
TATURA,1
TAWONGA,1
TAWONGA SOUTH,1
TAYLORS HILL,1
TAYLORS LAKES,1
TECOMA,1
STRATHTULLOH,1
STRATHMORE HEIGHTS,1
STRATHMORE,1
STRATHMERTON,1
SOUTH MELBOURNE,1
SOUTH MORANG,1
SOUTH YARRA,1
SPOTSWOOD,1
SPRING GULLY,1
SPRINGVALE,1
SPRINGVALE SOUTH,1
ST ALBANS,1
ST ALBANS PARK,1
ST ANDREWS BEACH,1
ST ARNAUD,1
ST HELENA,1
ST KILDA,1
ST KILDA EAST,1
ST KILDA WEST,1
ST LEONARDS,1
STANHOPE,1
STAWELL,1
STRATFORD,1
STRATHDALE,1
STRATHFIELDSAYE,1
LARA LAKE,1
LARA,1
LANGWARRIN,1
CASTLEMAINE,1
CAPE SCHANCK,1
CAPEL SOUND,1
CARISBROOK,1
CARLTON,1
CARLTON NORTH,1
CARNEGIE,1
CAROLINE SPRINGS,1
CARRUM,1
CARRUM DOWNS,1
CASTERTON,1
CAULFIELD,1
CANTERBURY,1
CAULFIELD NORTH,1
CAULFIELD SOUTH,1
CHADSTONE,1
CHARLEMONT,1
CHARLTON,1
CHELSEA,1
CHELSEA HEIGHTS,1
CHELTENHAM,1
CHELTENHAM EAST,1
CHELTENHAM NORTH,1
CAPE PATERSON,1
CANADIAN,1
DANDENONG NORTH,1
BUNINYONG,1
BROOKFIELD,1
BROOKLYN,1
BROWN HILL,1
BRUNSWICK,1
BRUNSWICK EAST,1
BRUNSWICK WEST,1
BRUTHEN,1
BULLEEN,1
BUNDALONG,1
BUNDOORA,1
BUNYIP,1
CAMPERDOWN,1
BURNLEY,1
BURNSIDE,1
BURNSIDE HEIGHTS,1
BURWOOD,1
BURWOOD EAST,1
CAIRNLEA,1
CALIFORNIA GULLY,1
CAMBERWELL,1
CAMPBELLFIELD,1
CAMPBELLS CREEK,1
CHEWTON,1
CHILTERN,1
CHIRNSIDE PARK,1
CRANBOURNE SOUTH,1
CORINELLA,1
CORIO,1
CORONET BAY,1
CORRYONG,1
COWES,1
COWES WEST,1
CRAIGIEBURN,1
CRANBOURNE,1
CRANBOURNE EAST,1
CRANBOURNE NORTH,1
CRANBOURNE WEST,1
CHURCHILL,1
CREMORNE,1
CRESWICK,1
CRIB POINT,1
CROYDON,1
CROYDON HILLS,1
CROYDON NORTH,1
CROYDON SOUTH,1
CURLEWIS,1
DALLAS,1
DALYSTON,1
COONGULLA,1
COONANS HILL,1
COOLAROO,1
CONNEWARRE,1
CLARINDA,1
CLAYTON,1
CLAYTON NORTH,1
CLAYTON SOUTH,1
CLIFTON HILL,1
CLIFTON SPRINGS,1
CLUNES,1
CLYDE,1
CLYDE NORTH,1
COBBLEBANK,1
COBDEN,1
COBRAM,1
COBURG,1
COBURG EAST,1
COBURG NORTH,1
COCKATOO,1
COHUNA,1
COLAC,1
COLDSTREAM,1
COLERAINE,1
COLLINGWOOD,1
BROADMEADOWS,1
BROADFORD,1
BRIGHTON EAST,1
BALCOMBE,1
ASPENDALE GARDENS,1
ATTWOOD,1
AVENEL,1
AVOCA,1
AVONDALE HEIGHTS,1
AVONSLEIGH,1
BACCHUS MARSH,1
BADGER CREEK,1
BAIRNSDALE,1
BALACLAVA,1
BALLAN,1
BARWON HEADS,1
BALLARAT CENTRAL,1
BALLARAT EAST,1
BALLARAT NORTH,1
BALNARRING,1
BALNARRING BEACH,1
BALWYN,1
BALWYN NORTH,1
BANDIANA,1
BANNOCKBURN,1
BARANDUDA,1
ASPENDALE,1
ASHWOOD,1
ASHBURTON,1
ASCOT VALE,1
AINTREE,1
AIREYS INLET,1
AIRPORT WEST,1
ALBANVALE,1
ALBERT PARK,1
ALBION,1
ALEXANDRA,1
ALFREDTON,1
ALLANSFORD,1
ALPHINGTON,1
ALTONA,1
ALTONA EAST,1
ALTONA MEADOWS,1
ALTONA NORTH,1
ANGLESEA,1
APOLLO BAY,1
ARARAT,1
ARDEER,1
ARMADALE,1
ARMSTRONG CREEK,1
ASCOT (GREATER BENDIGO),1
BARNAWARTHA,1
BAXTER,1
BRIGHTON,1
BOORT,1
BLACKBURN,1
BLACKBURN NORTH,1
BLACKBURN SOUTH,1
BLACKWOOD,1
BLAIRGOWRIE,1
BLIND BIGHT,1
BONBEACH,1
BONNIE DOON,1
BONSHAW,1
BOOLARRA,1
BORONIA,1
BAYSWATER,1
BOTANIC RIDGE,1
BOX HILL,1
BOX HILL NORTH,1
BOX HILL SOUTH,1
BRAYBROOK,1
BREAKWATER,1
BRIAGOLONG,1
BRIAR HILL,1
BRIDGEWATER ON LODDON,1
BRIGHT,1
BLACK ROCK,1
BLACK HILL,1
BITTERN,1
BIRREGURRA,1
BAYSWATER NORTH,1
BEACONSFIELD,1
BEACONSFIELD UPPER,1
BEAUFORT,1
BEAUMARIS,1
BEEAC,1
BEECHWORTH,1
BELGRAVE,1
BELGRAVE HEIGHTS,1
BELGRAVE SOUTH,1
BELL PARK,1
BELL POST HILL,1
BELLFIELD (BANYULE),1
BELMONT,1
BENALLA,1
BENDIGO,1
BENTLEIGH,1
BENTLEIGH EAST,1
BERWICK,1
BEVERIDGE,1
BIRCHIP,1
DANDENONG,1
DARLEY,1
LANG LANG,1
INDENTED HEAD,1
HIGHETT,1
HIGHTON,1
HILLSIDE (MELTON),1
HOPETOUN,1
HOPPERS CROSSING,1
HORSHAM,1
HUGHESDALE,1
HUNTINGDALE,1
HUNTLY,1
HURSTBRIDGE,1
INGLEWOOD,1
HEYFIELD,1
INVERLOCH,1
INVERMAY PARK,1
IRONBARK,1
IRYMPLE,1
IVANHOE,1
IVANHOE EAST,1
JACANA,1
JACKASS FLAT,1
JAMIESON,1
JAN JUC,1
HEYWOOD,1
HERNE HILL,1
DAYLESFORD,1
HASTINGS,1
HADFIELD,1
HALLAM,1
HALLS GAP,1
HAMILTON,1
HAMLYN HEIGHTS,1
HAMPTON,1
HAMPTON EAST,1
HAMPTON PARK,1
HARCOURT,1
HARKNESS,1
HASTINGS WEST,1
HEPBURN SPRINGS,1
HAWTHORN,1
HAWTHORN EAST,1
HEALESVILLE,1
HEATHCOTE,1
HEATHERTON,1
HEATHMONT,1
HEIDELBERG,1
HEIDELBERG HEIGHTS,1
HEIDELBERG WEST,1
HEPBURN,1
JEERALANG NORTH,1
JEPARIT,1
JUNCTION VILLAGE,1
KORUMBURRA,1
KILSYTH SOUTH,1
KINGLAKE,1
KINGS PARK,1
KINGSBURY,1
KINGSVILLE,1
KNOXFIELD,1
KOO WEE RUP,1
KOONDROOK,1
KOOYONG,1
KOROIT,1
KURUNJANG,1
JUNORTOUN,1
KYABRAM,1
KYNETON,1
LAKE BOGA,1
LAKE BUNGA,1
LAKE GARDENS,1
LAKE TYERS BEACH,1
LAKE WENDOUREE,1
LAKES ENTRANCE,1
LALOR,1
LANCEFIELD,1
KILSYTH,1
KILMORE,1
KILLARA (WODONGA),1
KILCUNDA,1
KALIMNA,1
KALKALLO,1
KALLISTA,1
KALORAMA,1
KANGAROO FLAT,1
KANGAROO GROUND SOUTH,1
KANIVA,1
KEALBA,1
KEILOR,1
KEILOR DOWNS,1
KEILOR EAST,1
KEILOR LODGE,1
KEILOR PARK,1
KENNINGTON,1
KENSINGTON,1
KERANG,1
KEW,1
KEW EAST,1
KEW NORTH,1
KEYSBOROUGH,1
KIALLA,1
GROVEDALE,1
GREENVALE,1
GREENSBOROUGH,1
ECHUCA,1
DUNOLLY,1
EAGLE POINT,1
EAGLEHAWK,1
EAGLEMONT,1
EAST BAIRNSDALE,1
EAST BENDIGO,1
EAST GEELONG,1
EAST MELBOURNE,1
EAST WARBURTON,1
EASTWOOD,1
EDENHOPE,1
EPSOM,1
EDITHVALE,1
EILDON,1
ELLIMINYT,1
ELMORE,1
ELSTERNWICK,1
ELTHAM,1
ELTHAM NORTH,1
ELWOOD,1
EMERALD,1
ENDEAVOUR HILLS,1
DUNKELD,1
DRYSDALE,1
DRUMCONDRA,1
DROUIN,1
DEANSIDE,1
DEEPDENE,1
DEER PARK,1
DELACOMBE,1
DELAHEY,1
DENNINGTON,1
DERRIMUT,1
DERRINALLUM,1
DIAMOND CREEK,1
DIGGERS REST,1
DIMBOOLA,1
DINGLEY VILLAGE,1
DINNER PLAIN,1
DONALD,1
DONCASTER,1
DONCASTER EAST,1
DONNYBROOK,1
DONVALE,1
DOREEN,1
DOVETON,1
DROMANA,1
EPPING,1
ESSENDON,1
GREEN LAKE,1
GLEN IRIS,1
FYANSFORD,1
GARDEN CITY,1
GARDENVALE,1
GARFIELD,1
GEELONG,1
GEELONG WEST,1
GEMBROOK,1
GISBORNE,1
GLADSTONE PARK,1
GLEN HUNTLY,1
GLEN WAVERLEY,1
ESSENDON NORTH,1
GLENGARRY,1
GLENROWAN,1
GLENROY,1
GOLDEN BEACH,1
GOLDEN POINT (BALLARAT),1
GOLDEN SQUARE,1
GORDON,1
GOUGHS BAY,1
GOWANBRAE,1
GRANTVILLE,1
FRASER RISE,1
FRANKSTON SOUTH,1
FRANKSTON NORTH,1
FRANKSTON,1
ESSENDON WEST,1
EUMEMMERRING,1
EUREKA,1
EUROA,1
EYNESBURY,1
FAIRFIELD,1
FAIRHAVEN,1
FAWKNER,1
FERNTREE GULLY,1
FERNY CREEK,1
FINGAL,1
FITZROY,1
FITZROY NORTH,1
FIVEWAYS,1
FLEMINGTON,1
FLINDERS,1
FLORA HILL,1
FLOWERDALE,1
FOOTSCRAY,1
FOREST HILL,1
FOSTER,1
YINNAR,1
